2026년 연간 지역축제 개최 계획,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연번,광역자치단체명,기초자치단체명,축제명,축제 유형,개최 장소,,,,,개최기간,,,,,,,,개최 주기,"최초
개최연도",예산(백만원),,,,"국비지원
부처명",방문객수(前년),,,,,축제 주최 전담조직,,,담당자,,,,,비고
,,,,,장소명,축제 유형,,,,시작일,,,종료일,,,"총
일수",비고,,,합계,국비,지방비,"기타
(민간 등)",,전체,내국인(명),외국인(명),계측 방법,비고,전담조직명,조직형태,설립근거,소속,부서명,직급/직책,성명,연락처,비고
,,,,,장소명,축제 유형,시도,시군구,읍면동,년,월,일,년,월,일,,,,,,,,,,,,,,,,,,,,,,,
1,01. 서울,-,2026 서울무형문화축제,01. 문화예술,남산골한옥마을 일대,01. 마을형,01. 서울,중구,필동,2026,9,12,2026,9,13,2,,01. 매년,2005,178,0,178,0,해당없음,"10,459","10,459",모름,01. 계측,유인,서울특별시,01. 정부/지자체,,서울특별시청,문화유산보존과,주무관,길상은,02-2133-2617,
2,01. 서울,-,제25회 서울억새축제,02. 자연생태,월드컵공원(하늘공원),02. 녹지형,01. 서울,마포구,상암동,2026,10,17,2026,10,23,7,,01. 매년,2002,250,0,250,0,해당없음,"700,000",모름,모름,01. 계측,유인,서울특별시 서부공원여가센터,01. 정부/지자체,서울특별시 행정기구 설치 조례 시행규칙 제20절 제131조,서울특별시 서부공원여가센터,공원여가과,주무관,신상은,"02-300-5573,5574",
3,01. 서울,-,2026 서울라이트 한강 빛섬축제,01. 문화예술,노들섬,03. 수변형,01. 서울,용산구,이촌동,2026,10,2,2026,10,11,10,,01. 매년,2023,"2,604",0,"2,604",0,해당없음,"515,683","480,732","34,951",02. 추정,통신 데이터,서울시 도시경관담당관,01. 정부/지자체,서울특별시 축제 육성 및 지원에 관한 조례,서울특별시청,도시경관담당관,주무관,김백곤,02-2133-1935,
4,01. 서울,-,2026 서울라이트 광화문,01. 문화예술,"광화문, 광화문광장",02. 녹지형,01. 서울,종로구,세종로,2026,12,18,2026,12,31,14,,01. 매년,2022,"3,254",0,"3,254",0,해당없음,"3,118,958","3,118,958",모름,01. 계측,무인,서울시 도시경관담당관,01. 정부/지자체,서울특별시 축제 육성 및 지원에 관한 조례,서울특별시청,도시경관담당관,주무관,최용정,02-2133-1936,
5,01. 서울,-,2026년 30회 서울세계도시문화축제,01. 문화예술,동대문디자인플라자,04. 독립형,01. 서울,중구,광희동,2026,5,9,2026,5,10,2,,01. 매년,1996,642,0,642,0,해당없음,"160,000","80,000","80,000",99. 무응답,기타,서울시 도시외교담당관,01. 정부/지자체,,서울특별시청,도시외교담당관,주무관,이미호,02-2133-5281,
6,01. 서울,-,한강페스티벌,01. 문화예술,한강 수상 및 11개 한강공원 일대,02. 녹지형,01. 서울,-,-,2026,5,,2026,12,,43,미정,01. 매년,2013,"1,211",0,"1,211",0,해당없음,"201,000","201,000",모름,99. 무응답,기타,서울특별시 미래한강본부 한강문화관광과,01. 정부/지자체,,서울특별시 미래한강본부,한강문화관광과,주무관,이혜수,02-3780-0718,
7,01. 서울,-,2026 로맨틱 한강 크리스마스 마켓,03. 주민화합,뚝섬한강공원 일원,02. 녹지형,01. 서울,광진구,자양동,2026,12,18,2026,12,27,10,,01. 매년,2023,423,0,423,0,해당없음,"129,300","122,800","6,500",02. 추정,통신 데이터,서울특별시 미래한강본부 한강문화관광과,01. 정부/지자체,,서울특별시 미래한강본부,한강문화관광과,주무관,양재연,02-3780-0760,
8,01. 서울,-,2026 차없는 잠수교 뚜벅뚜벅 축제,01. 문화예술,잠수교 및 반포한강공원 일원,02. 녹지형,01. 서울,서초구,반포동,2026,5,3,2026,10,25,16,,01. 매년,2022,"2,336",0,"2,336",0,해당없음,"1,284,838","1,284,838",모름,01. 계측,무인,서울특별시 미래한강본부 한강문화관광과,01. 정부/지자체,서울특별시 행정기구 설치 조례,서울특별시 미래한강본부,한강문화관광과,주무관,김세정,02-3780-0796,
9,01. 서울,-,2026 한강 서래섬 피크닉 콘서트(봄),01. 문화예술,반포한강공원 서래섬,02. 녹지형,01. 서울,서초구,반포동,2026,5,8,2026,5,10,3,,01. 매년,2004,77,0,77,0,해당없음,"2,000","2,000",모름,99. 무응답,,서울특별시 미래한강본부 한강문화관광과,01. 정부/지자체,,서울특별시 미래한강본부,한강문화관광과,주무관,최진성,02-3780-0764,봄/가을 행사 구분
10,01. 서울,-,2026 한강 서래섬 피크닉 콘서트(가을),01. 문화예술,반포한강공원 서래섬,02. 녹지형,01. 서울,서초구,반포동,2026,10,9,2026,10,11,3,,01. 매년,2004,77,0,77,0,해당없음,"2,000","2,000",모름,99. 무응답,,서울특별시 미래한강본부 한강문화관광과,01. 정부/지자체,,서울특별시 미래한강본부,한강문화관광과,주무관,최진성,02-3780-0764,봄/가을 행사 구분
11,01. 서울,-,제20회 서울안전한마당,03. 주민화합,여의도공원,02. 녹지형,01. 서울,영등포구,여의도동,2026,9,17,2026,9,19,3,,01. 매년,2007,327,0,327,0,해당없음,"42,300","42,300",0,99. 무응답,기타,서울특별시 소방재난본부 예방과,01. 정부/지자체,,서울특별시 소방재난본부,예방과,소방경/홍보기획,최치환,02-3706-1541,
12,01. 서울,-,2026 서울윈터페스타,01. 문화예술,"종로구 일대(광화문광장, 청계천 등)",02. 녹지형,01. 서울,"종로구, 중구",-,2026,12,,2027,1,,,미정,01. 매년,2023,996,0,996,0,해당없음,"10,983,176","10,983,176",모름,99. 무응답,기타,문화본부 문화정책과,01. 정부/지자체,,서울특별시청,문화정책과,주무관,심재황,02-2133-2546,
13,01. 서울,-,서울스프링페스타 2026,01. 문화예술,주요 한강공원 등 한강 전역,02. 녹지형,01. 서울,영등포구,여의도동,2026,4,30,2026,5,10,11,,01. 매년,2022,"4,225",0,"4,225",0,해당없음,"826,180","647,685","178,495",01. 계측,유인,서울관광재단,02. 재단(관광/문화/예술),서울특별시 서울관광재단 설립 및 운영에 관한 조례,서울특별시청,관광정책과,주무관,양준호,02-2133-2810,
14,01. 서울,-,2026 서울바비큐페스타 ,01. 문화예술,노을공원,02. 녹지형,01. 서울,마포구,상암동,2026,10,17,2026,10,18,2,,01. 매년,2025,704,0,704,0,해당없음,"28,343","25,193","3,150",01. 계측,유인,서울시 관광정책과,01. 정부/지자체,해당없음,서울특별시청,관광정책과,주무관,양준호,02-2133-2810,
15,01. 서울,-,2026 한강 드론 라이트 쇼,01. 문화예술,"한강공원(뚝섬, 잠실, 여의도)",02. 녹지형,01. 서울,광진구,자양동,2026,4,25,2026,10,24,10,주 1회,01. 매년,2023,982,0,982,0,해당없음,"280,741","192,334","88,407",01. 계측,유인,서울시 관광정책과,01. 정부/지자체,해당없음,서울특별시청,관광정책과,주무관,이지아,02-2133-1845,
16,01. 서울,-,2026 서울국제정원박람회,02. 자연생태,"서울숲 일대, 매헌시민의숲",02. 녹지형,01. 서울,"성동구, 서초구","성수동, 양재동",2026,5,1,2026,10,27,180,,01. 매년,2015,"6,960",0,"6,960",0,해당없음,"1,044,000","1,044,000",0,01. 계측,무인,직접수행,01. 정부/지자체,서울특별시 정원문화 조성 및 진흥에 관한 조례 ,서울특별시청,조경과,주무관,권지현,02-2133-2112,
17,01. 서울,-,2026 서울어린이정원 페스티벌,01. 문화예술,서울어린이대공원,02. 녹지형,01. 서울,광진구,능동,2026,5,5,2026,5,17,13,,01. 매년,2025,200,0,200,0,해당없음,"635,000","635,000",모름,01. 계측,무인,서울시설공단,03. 기타 공공,서울특별시 서울시설공단 설립 및 운영에 관한 조례,서울특별시청,정원도시정책과,주무관,배소윤,02-2133-2036,
18,01. 서울,마포구,제4회 레드로드 페스티벌,01. 문화예술,홍대 레드로드,01. 마을형,01. 서울,마포구,성산동,2026,9,,2026,9,,2,미정,01. 매년,2023,220,0,220,0,해당없음,미집계,미집계,미집계,03. 미집계,,서울시 마포구,01. 정부/지자체,-,마포구청,관광정책과,주무관,윤현승,02-3153-8653,
19,01. 서울,마포구,제19회 마포나루 새우젓축제,04. 전통역사,월드컵공원 평화광장,02. 녹지형,01. 서울,마포구,성산동,2026,10,16,2026,10,18,3,,01. 매년,2008,529,0,529,0,해당없음,"820,000","820,000",모름,01. 계측,유인,서울시 마포구,01. 정부/지자체,-,마포구청,문화예술과,주무관,김정훈,02-3153-8353,
20,01. 서울,강동구,제31회 강동선사문화축제,01. 문화예술,서울 암사동유적 일원,04. 독립형,01. 서울,강동구,암사동,2026,10,16,2026,10,18,3,,01. 매년,1996,665,0,665,0,해당없음,"455,185","455,185",모름,02. 추정,통신 데이터,서울시 강동구청,01. 정부/지자체,서울특별시 강동구 선사문화축제에 관한 조례,강동구청,문화예술과,주무관,구보성,02-3425-5247,
